COMMUNE,ZIP code,index ,Coordinates Debut,Latitude Debut,Longitude Debut,index,Coordinates Fin,Latitude Fin,Longitude Fin,Distance en KM,TRT (min) at 0,TRT (min) at 1,TRT (min) at 2,TRT (min) at 3,TRT (min) at 4,TRT (min) at 5,TRT (min) at 6,TRT (min) at 7,TRT (min) at 8,TRT (min) at 9,TRT (min) at 10,TRT (min) at 11,TRT (min) at 12,TRT (min) at 13,TRT (min) at 14,TRT (min) at 15,TRT (min) at 16,TRT (min) at 17,TRT (min) at 18,TRT (min) at 19,TRT (min) at 20,TRT (min) at 21,TRT (min) at 22,TRT (min) at 23,TTI (min) at 0,TTI (min) at 1,TTI (min) at 2,TTI (min) at 3,TTI (min) at 4,TTI (min) at 5,TTI (min) at 6,TTI (min) at 7,TTI (min) at 8,TTI (min) at 9,TTI (min) at 10,TTI (min) at 11,TTI (min) at 12,TTI (min) at 13,TTI (min) at 14,TTI (min) at 15,TTI (min) at 16,TTI (min) at 17,TTI (min) at 18,TTI (min) at 19,TTI (min) at 20,TTI (min) at 21,TTI (min) at 22,TTI (min) at 23
Sidi Maarouf,20192,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,8,"33.48147210659073,-7.652317932191367",33.48147210659073,-7.652317932191367,2346.0,5983.0,5967.0,6183.0,6.15,6117.0,6.15,6.15,3.95,6083.0,6017.0,6183.0,6183.0,6133.0,6117.0,6.0,6067.0,6033.0,6117.0,6217.0,6.45,6317.0,6117.0,6017.0,5.95,2.55044046604148,2.54333617504973,2.63569195794259,2.62148337595907,2.60727479397556,2.62148337595907,2.62148337595907,1.69382504288164,2.59306621199204,2.564649048025,2.63569195794259,2.63569195794259,2.61437908496732,2.60727479397556,2.55754475703324,2.58596192100028,2.57175333901676,2.60727479397556,2.64990053992611,2.74936061381074,2.69252628587666,2.60727479397556,2.564649048025,2.53623188405797
Sidi Maarouf,20192,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,9,"33.49835474797786,-7.6507546447367645",33.49835474797786,-7.6507546447367645,3056.0,7433.0,7383.0,7383.0,7433.0,7433.0,7433.0,7433.0,7417.0,7333.0,7267.0,7433.0,7483.0,7433.0,7433.0,7467.0,7483.0,7433.0,7733.0,7.5,7517.0,7467.0,7517.0,7433.0,7433.0,2.43237347294938,2.41601221640488,2.41601221640488,2.43237347294938,2.43237347294938,2.43237347294938,2.43237347294938,2.42691972076788,2.39965095986038,2.37783595113438,2.43237347294938,2.44873472949389,2.43237347294938,2.43237347294938,2.44328097731239,2.44873472949389,2.43237347294938,2.5305410122164,2.45418848167539,2.45964223385689,2.44328097731239,2.45964223385689,2.43237347294938,2.43237347294938
Sidi Maarouf,20192,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,6039.0,7.85,8283.0,8533.0,8367.0,8517.0,7.85,8617.0,7.5,8583.0,8217.0,8.0,7783.0,7983.0,8033.0,8.2,8317.0,8133.0,8583.0,10.95,13433.0,8.4,7733.0,7367.0,7133.0,1.29988408676933,1.37163989623006,1.41303747861124,1.38543909035712,1.41027763978583,1.29988408676933,1.42683667273831,1.24192747143566,1.63835337532608,1.3606005409284,1.32472263619804,1.28884473146768,1.32196279737263,1.33024231384887,1.35784070210299,1.37715957388088,1.34680134680134,1.42131699508748,2.09009352929948,2.56410256410256,1.39095876800794,1.28056521499144,1.21984876083236,1.18121101727659
Sidi Maarouf,20192,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,7,"33.48716086847907,-7.641582183521106",33.48716086847907,-7.641582183521106,6854.0,9683.0,10183.0,10.45,10167.0,10.35,9817.0,10433.0,9.3,11017.0,10067.0,9.85,9417.0,9.75,9967.0,10017.0,10.1,10.0,10433.0,13517.0,16367.0,10233.0,9533.0,9.1,8967.0,1.41280031125376,1.48575041338391,1.52465713451998,1.4833187433129,1.51006711409395,1.4322536718218,1.52222546444898,1.35687189962065,1.60733391693415,1.46872872288687,1.43711701196381,1.37389359011769,1.42252699153778,1.45413870246085,1.46143371267386,1.47359206302888,1.45900204260285,1.52222546444898,1.97208442758486,2.38790000972668,1.49304542359692,1.39091528061472,1.3276918587686,1.30823849820056
Sidi Maarouf,20192,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,8,"33.48147210659073,-7.652317932191367",33.48147210659073,-7.652317932191367,7683.0,12.25,12733.0,13.0,12867.0,13.0,12533.0,13117.0,11.9,13683.0,12.75,12.5,12.15,12433.0,12.65,12683.0,12833.0,12.7,13167.0,16017.0,18783.0,12933.0,12217.0,11783.0,11.6,1.59442925940387,1.65733871317627,1.69204737732656,1.67469304525142,1.69204737732656,1.63130721506356,1.70723241789231,1.54887413770662,1.78098832921167,1.65950800468566,1.62696863204477,1.58141351034752,1.6182914660072,1.64649225562931,1.65083083864809,1.67035446223263,1.65300013015749,1.71374029242049,2.0846891405267,2.44479153108594,1.68337021128899,1.59009067638509,1.53368909714087,1.50982689053755
Sidi Maarouf,20192,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,9,"33.49835474797786,-7.6507546447367645",33.49835474797786,-7.6507546447367645,4943.0,11783.0,12067.0,12367.0,11717.0,12.0,11767.0,12.0,11067.0,12.7,11.55,11133.0,11117.0,11167.0,11333.0,11.5,11333.0,11217.0,11717.0,13767.0,15117.0,11383.0,11117.0,11067.0,11.2,2.38384247083417,2.44116258682311,2.50185447434081,2.37035538471913,2.42767550070807,2.38047069930541,2.42767550070807,2.23885629509744,2.56928990491604,2.33663766943151,2.25234338121248,2.24897160968372,2.25908692427001,2.29280463955762,2.32652235484523,2.29280463955762,2.26920223885629,2.37035538471913,2.78508328275676,2.64693865639409,2.3029199541439,2.24897160968372,2.23885629509744,2.26583046732753
Sidi Maarouf,20192,7,"33.48716086847907,-7.641582183521106",33.48716086847907,-7.641582183521106,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,1.58,4017.0,4067.0,4.1,4.1,4083.0,4.1,4.1,3933.0,4.25,3817.0,3917.0,3817.0,4033.0,3467.0,4.05,3.85,3883.0,3.55,4283.0,4.25,4033.0,3.85,3817.0,3983.0,2.542194092827,2.57383966244725,2.59493670886075,2.59493670886075,2.584388185654,2.59493670886075,2.59493670886075,2.48945147679324,2.68987341772151,2.41561181434599,2.47890295358649,2.41561181434599,2.55274261603375,2.19409282700421,2.5632911392405,2.43670886075949,2.45780590717299,2.24683544303797,2.71097046413502,2.68987341772151,2.55274261603375,2.43670886075949,2.41561181434599,2.5210970464135
Sidi Maarouf,20192,7,"33.48716086847907,-7.641582183521106",33.48716086847907,-7.641582183521106,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,11005.0,14.6,14333.0,15683.0,15.45,15.4,15417.0,14667.0,14683.0,19.1,17033.0,15067.0,15.05,15583.0,14783.0,15567.0,14967.0,15267.0,18.4,17417.0,15983.0,15.45,14.35,14133.0,14083.0,1.32666969559291,1.3024382856277401,1.4251097985764,1.40390731485688,1.39936392548841,1.40087838861123,1.3327275480842,1.33424201120702,1.73557473875511,1.57964697517697,1.36907466303195,1.36756019990913,1.41602301983946,1.34332878994396,1.41450855671664,1.35998788429501,1.38724822050583,1.67196728759654,1.58261396334999,1.45237013478721,1.40390731485688,1.30395274875056,1.28426472815386,1.2797213387854
Sidi Maarouf,20192,7,"33.48716086847907,-7.641582183521106",33.48716086847907,-7.641582183521106,8,"33.48147210659073,-7.652317932191367",33.48147210659073,-7.652317932191367,1765.0,5.35,5.35,5.35,5.35,5.35,5.35,5.35,3.4,5333.0,5.35,4.45,4.75,5333.0,5.35,5383.0,5.4,5117.0,5.35,5317.0,4533.0,4583.0,5333.0,5.35,5.35,3.03116147308781,3.03116147308781,3.03116147308781,3.03116147308781,3.03116147308781,3.03116147308781,3.03116147308781,1.94174757281553,3.02171860245514,3.03116147308781,2.54140491147915,2.71273557966876,3.02171860245514,3.03116147308781,3.05004721435316,3.05949008498583,2.92213972967827,3.03116147308781,3.01227573182247,2.58899676375404,2.61755187511897,3.02171860245514,3.03116147308781,3.03116147308781
Sidi Maarouf,20192,7,"33.48716086847907,-7.641582183521106",33.48716086847907,-7.641582183521106,9,"33.49835474797786,-7.6507546447367645",33.49835474797786,-7.6507546447367645,3.44,8833.0,8833.0,8833.0,8.8,8.8,8.8,8.8,8.8,8817.0,8.8,8.85,8.8,8817.0,8.8,8817.0,8833.0,8.8,8.75,8933.0,8.9,8.8,8.8,8.8,8.8,2.56782945736434,2.56782945736434,2.56782945736434,2.56934306569343,2.56934306569343,2.56934306569343,2.56934306569343,2.56934306569343,2.57420924574209,2.56934306569343,2.58394160583941,2.56934306569343,2.57420924574209,2.56934306569343,2.57420924574209,2.57907542579075,2.56934306569343,2.55474452554744,2.60827250608272,2.5985401459854,2.56934306569343,2.56934306569343,2.56934306569343,2.56934306569343
