Commune,ZIP code,Index,Latitude,Longitude,Coordinates
Bou Chentouf,20500,28,33.55736883893674,-7.609119650922892,"33.55736883893674,-7.609119650922892"
Bou Chentouf,20500,29,33.5594284108214,-7.594952777566913,"33.5594284108214,-7.594952777566913"
El Maarif,20390,30,33.56934610669519,-7.644186735862398,"33.56934610669519,-7.644186735862398"
El Maarif,20390,31,33.57439940559289,-7.652547715520084,"33.57439940559289,-7.652547715520084"
El Maarif,20390,32,33.55724595712827,-7.639673809114366,"33.55724595712827,-7.639673809114366"
El Maarif,20390,33,33.57072251299429,-7.618140348582532,"33.57072251299429,-7.618140348582532"
El Maarif,20390,34,33.54555018322015,-7.639283797050576,"33.54555018322015,-7.639283797050576"
Hay Hassani,20220,35,33.5617648719433,-7.647488326947816,"33.5617648719433,-7.647488326947816"
Hay Hassani,20220,36,33.56891990079279,-7.669169627366986,"33.56891990079279,-7.669169627366986"
Hay Hassani,20220,37,33.55421702823332,-7.665145749112807,"33.55421702823332,-7.665145749112807"
Hay Hassani,20220,38,33.56854226850842,-7.651791243629023,"33.56854226850842,-7.651791243629023"
Hay Hassani,20220,39,33.55780575075923,-7.686021183106305,"33.55780575075923,-7.686021183106305"
Hay Mohammadi,20570,40,33.5771652253387,-7.566759982285982,"33.5771652253387,-7.566759982285982"
Hay Mohammadi,20570,41,33.57371103880315,-7.557628015411628,"33.57371103880315,-7.557628015411628"
Hay Mohammadi,20570,42,33.58558153300675,-7.579664410522142,"33.58558153300675,-7.579664410522142"
Hay Mohammadi,20570,43,33.57963408783898,-7.552954125796059,"33.57963408783898,-7.552954125796059"
Hay Mohammadi,20570,44,33.58760968997529,-7.565003146178025,"33.58760968997529,-7.565003146178025"
Ain Chock,20190,45,33.5234096623697,-7.627368587781716,"33.5234096623697,-7.627368587781716"
Ain Chock,20190,46,33.54026411129312,-7.6319518606039,"33.54026411129312,-7.6319518606039"
Ain Chock,20190,47,33.54653026056302,-7.603443488370979,"33.54653026056302,-7.603443488370979"
Ain Chock,20190,48,33.53076443517872,-7.620207488965399,"33.53076443517872,-7.620207488965399"
Ain Chock,20190,49,33.5331373999159,-7.60743119944375,"33.5331373999159,-7.60743119944375"
Ain Sebaa,20590,50,33.60633088593887,-7.527055886982375,"33.60633088593887,-7.527055886982375"
Ain Sebaa,20590,51,33.59262534701576,-7.552505825461063,"33.59262534701576,-7.552505825461063"
Ain Sebaa,20590,52,33.61603358538719,-7.530093623695426,"33.61603358538719,-7.530093623695426"
Ain Sebaa,20590,53,33.6086212940201,-7.57101707232315,"33.6086212940201,-7.57101707232315"
Ain Sebaa,20590,54,33.58758253456271,-7.514349381506551,"33.58758253456271,-7.514349381506551"
Al Fida,20520,55,33.57013445164309,-7.598058645606782,"33.57013445164309,-7.598058645606782"
