COMMUNE,ZIP code,index,Coordinates Debut,Latitude Debut,Longitude Debut,index.1,Coordinates Fin,Latitude Fin,Longitude Fin,Distance en KM,TRT (min) at 0,TRT (min) at 1,TRT (min) at 2,TRT (min) at 3,TRT (min) at 4,TRT (min) at 5,TRT (min) at 6,TRT (min) at 7,TRT (min) at 8,TRT (min) at 9,TRT (min) at 10,TRT (min) at 11,TRT (min) at 12,TRT (min) at 13,TRT (min) at 14,TRT (min) at 15,TRT (min) at 16,TRT (min) at 17,TRT (min) at 18,TRT (min) at 19,TRT (min) at 20,TRT (min) at 21,TRT (min) at 22,TRT (min) at 23,TTI (min) at 0,TTI (min) at 1,TTI (min) at 2,TTI (min) at 3,TTI (min) at 4,TTI (min) at 5,TTI (min) at 6,TTI (min) at 7,TTI (min) at 8,TTI (min) at 9,TTI (min) at 10,TTI (min) at 11,TTI (min) at 12,TTI (min) at 13,TTI (min) at 14,TTI (min) at 15,TTI (min) at 16,TTI (min) at 17,TTI (min) at 18,TTI (min) at 19,TTI (min) at 20,TTI (min) at 21,TTI (min) at 22,TTI (min) at 23
Al Fida,20520,57,"33.564723920173485,-7.590697357199",33.564723920173485,-7.590697357199,56,"33.56363154284882,-7.599870730141732",33.56363154284882,-7.599870730141732,1276.0,2733.0,2667.0,5.05,3733.0,5067.0,5017.0,5033.0,5067.0,4617.0,4.2,4.45,6133.0,6433.0,5533.0,4017.0,5.75,5383.0,5083.0,5.25,4.4,3533.0,3733.0,3883.0,3783.0,2.14211076280041,2.08986415882967,3.95768025078369,2.92580982236154,3.97074190177638,3.93155694879832,3.94461859979101,3.97074190177638,3.61807732497387,3.29153605015674,3.48746081504702,4.80668756530825,5.04179728317659,4.33646812957157,3.14785788923719,3.59375,4.2189132706374,3.98380355276906,4.11442006269592,3.44827586206896,2.76907001044932,2.92580982236154,3.04336468129571,2.9649947753396
Al Fida,20520,57,"33.564723920173485,-7.590697357199",33.564723920173485,-7.590697357199,58,"33.56704661642497,-7.584284043045241",33.56704661642497,-7.584284043045241,1163.0,1833.0,2717.0,3.3,3033.0,3333.0,3.3,3333.0,3.2,3367.0,2967.0,3083.0,3233.0,4.05,3267.0,2917.0,2.95,3333.0,3033.0,3.4,3117.0,3183.0,2717.0,2.6,3.2,1.57638291774147,2.33591286901691,2.83748925193465,2.60819719117225,2.86615075952995,2.83748925193465,2.86615075952995,2.75150472914875,2.89481226712525,2.55087417598165,2.6511894525652,2.78016623674405,3.48237317282889,2.92974588938714,2.5078819145887,2.536543422184,2.86615075952995,2.60819719117225,2.92347377472055,2.6798509601605,2.7371739753511,2.33591286901691,2.23559759243336,2.75150472914875
Al Fida,20520,57,"33.564723920173485,-7.590697357199",33.564723920173485,-7.590697357199,59,"33.562284333432395,-7.606299844625026",33.562284333432395,-7.606299844625026,1649.0,3667.0,3.6,5533.0,4.25,5.55,5383.0,5517.0,5.55,5183.0,4783.0,4883.0,6633.0,7483.0,5917.0,4467.0,6967.0,6517.0,5367.0,5283.0,4.95,3917.0,4.05,4.45,4317.0,2.22356984030725,2.18314129775621,3.3555690317364,2.57731958762886,3.36567616737416,3.26460481099656,3.34546189609864,3.36567616737416,3.14331918334344,2.90074792803719,2.96139074186375,4.02263998382858,4.53810390135435,3.58803315140489,2.70871235091974,3.18694724001219,3.95189003436426,3.2544976753588,3.20396199717,3.00181928441479,2.37517687487366,2.45603395997574,2.69860521528198,2.6177481301799
Al Fida,20520,58,"33.56704661642497,-7.584284043045241",33.56704661642497,-7.584284043045241,55,"33.57013445164309,-7.598058645606782",33.57013445164309,-7.598058645606782,2374.0,6.8,6933.0,8733.0,7417.0,7.0,7.0,6.8,7983.0,6933.0,6.9,8083.0,6917.0,7433.0,8.1,7867.0,7633.0,7.6,7.05,6.95,6567.0,6.95,8.85,6867.0,8533.0,2.86436394271272,2.92052794158944,3.67874192642516,3.12412243751755,2.83057015770319,2.83057015770319,2.74969672462596,3.36281943274361,2.80361234667745,2.79013344116457,3.10658467845247,2.79687289392101,2.90932811480756,3.1082118188795,3.18230852211434,3.08791801510248,2.96759078484966,2.8507885159725,2.81035179943388,2.6435856146001,2.81035179943388,3.72788542544229,2.7766545356517,3.59449592811008
Al Fida,20520,58,"33.56704661642497,-7.584284043045241",33.56704661642497,-7.584284043045241,56,"33.56363154284882,-7.599870730141732",33.56363154284882,-7.599870730141732,2055.0,4717.0,4767.0,7.5,6117.0,7517.0,7367.0,7.4,7517.0,7.0,6767.0,6933.0,8617.0,8667.0,8.4,7033.0,7.85,8333.0,6883.0,7667.0,6417.0,6.1,6717.0,6783.0,5983.0,2.29521492295214,2.31954582319545,3.64963503649635,2.9764801297648,3.65774533657745,3.58475263584752,3.60097323600973,3.65774533657745,3.40632603406326,3.29278183292781,3.37388483373884,4.19302514193025,4.0555295585712,3.84439359267734,3.42254663422546,3.38362068965517,4.0551500405515,3.34955393349553,3.73073803730738,3.12246553122465,2.96836982968369,3.2684509326845,3.30089213300892,2.91159772911597
Al Fida,20520,58,"33.56704661642497,-7.584284043045241",33.56704661642497,-7.584284043045241,57,"33.564723920173485,-7.590697357199",33.564723920173485,-7.590697357199,0.778,1967.0,2067.0,2433.0,1967.0,2433.0,2433.0,2417.0,2433.0,2367.0,2.4,2617.0,2.4,2.25,2883.0,2783.0,2717.0,2.55,2083.0,2483.0,1833.0,2517.0,2.65,2.4,2283.0,2.52784918594687,2.65638389031705,3.12767780634104,2.52784918594687,3.12767780634104,3.12767780634104,3.10625535561268,3.12767780634104,3.04198800342759,3.08483290488431,3.36332476435304,3.08483290488431,2.61627906976744,3.17547723935389,3.57754927163667,3.49185946872322,3.27763496143958,2.67780634104541,3.19194515852613,2.35646958011996,3.23479005998286,3.40616966580976,3.08483290488431,2.93487574978577
Al Fida,20520,58,"33.56704661642497,-7.584284043045241",33.56704661642497,-7.584284043045241,59,"33.562284333432395,-7.606299844625026",33.562284333432395,-7.606299844625026,2428.0,5.65,5.7,7983.0,6.6,8.0,7667.0,7883.0,8.0,7567.0,7333.0,7.45,9.15,9467.0,8767.0,7.45,9033.0,9517.0,7267.0,7.7,6933.0,6567.0,7.15,7.35,6467.0,2.32701812191103,2.34761120263591,3.2880285557386,2.71828665568369,3.29489291598023,3.15760571114772,3.24684239428885,3.29489291598023,3.11641954969796,3.02031850631521,3.06836902800659,3.76853377265238,3.77158034528552,3.42715663278603,3.06836902800659,3.10851112640513,3.91954969796815,2.9928610653487,3.17133443163097,2.8555738605162,2.70455793520043,2.94481054365733,3.02718286655683,2.66337177375068
Al Fida,20520,59,"33.562284333432395,-7.606299844625026",33.562284333432395,-7.606299844625026,55,"33.57013445164309,-7.598058645606782",33.57013445164309,-7.598058645606782,1348.0,3417.0,3417.0,3733.0,3733.0,3633.0,3633.0,3.6,3633.0,3633.0,3.6,3533.0,3.8,3867.0,3833.0,3.6,3533.0,3.85,3783.0,3.85,3767.0,3.35,3.6,3583.0,3617.0,2.53461918892185,2.53461918892185,2.76953511374876,2.76953511374876,2.6953511374876298,2.6953511374876298,2.67062314540059,2.6953511374876298,2.6953511374876298,2.67062314540059,2.6211671612265,2.81899109792284,2.86844708209693,2.84371909000989,2.67062314540059,2.6211671612265,2.85608308605341,2.80662710187932,2.85608308605341,2.7942631058358,2.48516320474777,2.67062314540059,2.65825914935707,2.68298714144411
Al Fida,20520,59,"33.562284333432395,-7.606299844625026",33.562284333432395,-7.606299844625026,56,"33.56363154284882,-7.599870730141732",33.56363154284882,-7.599870730141732,0.617,1.15,1.1,1583.0,1583.0,1583.0,1583.0,1583.0,1583.0,1567.0,1583.0,1.6,1567.0,1767.0,1817.0,1.7,1.6,1967.0,1.75,1867.0,1.6,1.5,1533.0,1.5,1583.0,1.86385737439222,1.78282009724473,2.56618044300378,2.56618044300378,2.56618044300378,2.56618044300378,2.56618044300378,2.56618044300378,2.53916801728795,2.56618044300378,2.59319286871961,2.53916801728795,2.8633171258779,2.94435440302539,2.75526742301458,2.59319286871961,3.18746623446785,2.83630470016207,3.02539168017287,2.59319286871961,2.43111831442463,2.48514316585629,2.43111831442463,2.56618044300378
Al Fida,20520,59,"33.562284333432395,-7.606299844625026",33.562284333432395,-7.606299844625026,57,"33.564723920173485,-7.590697357199",33.564723920173485,-7.590697357199,1855.0,2917.0,4283.0,4783.0,5383.0,5383.0,5367.0,5383.0,5383.0,5.1,5.3,5017.0,5267.0,7183.0,6983.0,6983.0,7.55,5.35,4967.0,6217.0,4383.0,4.55,4217.0,3317.0,4833.0,1.57232704402515,2.35996326905417,2.57861635220125,2.90206648697214,2.90206648697214,2.89308176100628,2.90206648697214,2.90206648697214,2.74932614555256,2.85714285714285,2.70440251572327,2.83917340521114,3.87241689128481,3.76460017969451,3.76460017969451,3.3585409252669,2.88409703504043,2.67744833782569,3.35130278526504,2.36298292902066,2.45283018867924,2.27313566936208,1.78796046720575,2.60557053009883
