Route,Latitude Debut,Longitude Debut,Latitude Fin,Longitude Fin,route_id
"33.558,-7.686 → 33.569,-7.669",33.55780575075923,-7.686021183106305,33.568919900792785,-7.669169627366986,157
"33.558,-7.686 → 33.554,-7.665",33.55780575075923,-7.686021183106305,33.554217028233325,-7.665145749112807,158
"33.558,-7.686 → 33.569,-7.652",33.55780575075923,-7.686021183106305,33.568542268508416,-7.651791243629023,159
"33.577,-7.567 → 33.574,-7.558",33.577165225338696,-7.566759982285982,33.57371103880315,-7.557628015411628,160
"33.577,-7.567 → 33.586,-7.58",33.577165225338696,-7.566759982285982,33.585581533006746,-7.579664410522142,161
"33.577,-7.567 → 33.58,-7.553",33.577165225338696,-7.566759982285982,33.579634087838976,-7.552954125796059,162
"33.577,-7.567 → 33.588,-7.565",33.577165225338696,-7.566759982285982,33.58760968997529,-7.565003146178025,163
"33.574,-7.558 → 33.577,-7.567",33.57371103880315,-7.557628015411628,33.577165225338696,-7.566759982285982,164
"33.574,-7.558 → 33.586,-7.58",33.57371103880315,-7.557628015411628,33.585581533006746,-7.579664410522142,165
"33.574,-7.558 → 33.58,-7.553",33.57371103880315,-7.557628015411628,33.579634087838976,-7.552954125796059,166
"33.574,-7.558 → 33.588,-7.565",33.57371103880315,-7.557628015411628,33.58760968997529,-7.565003146178025,167
"33.586,-7.58 → 33.577,-7.567",33.585581533006746,-7.579664410522142,33.577165225338696,-7.566759982285982,168
"33.586,-7.58 → 33.574,-7.558",33.585581533006746,-7.579664410522142,33.57371103880315,-7.557628015411628,169
"33.586,-7.58 → 33.58,-7.553",33.585581533006746,-7.579664410522142,33.579634087838976,-7.552954125796059,170
"33.586,-7.58 → 33.588,-7.565",33.585581533006746,-7.579664410522142,33.58760968997529,-7.565003146178025,171
"33.58,-7.553 → 33.577,-7.567",33.579634087838976,-7.552954125796059,33.577165225338696,-7.566759982285982,172
"33.58,-7.553 → 33.574,-7.558",33.579634087838976,-7.552954125796059,33.57371103880315,-7.557628015411628,173
